GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gcs-item-pubsub,com.google.cloud,gcsitempubsub.new DoFn() {...},54,0,0,0,8,0,2,0,2,0
gcs-item-pubsub,com.google.cloud,gcsitempubsub,102,0,0,0,32,0,3,0,3,0
gcs-item-pubsub,com.google.cloud,App,7,0,0,0,3,0,2,0,2,0
